index,voted
0,0.7268912914953034
1,0.8937538505107719
2,0.4091534548249566
3,0.15402785082087295
4,0.780471466202469
5,0.4258154478367672
6,0.8740037766576747
7,0.7795242359884309
8,0.3152217140714187
9,0.6240716866003266
10,0.3337836003930407
11,0.7585735974222955
12,0.3695352245863224
13,0.5888222029148245
14,0.40590039000285105
15,0.9816427194409135
16,0.8754455772473998
17,0.3512923843825529
18,0.46385093677789213
19,0.46458858180286866
20,0.5170245176518424
21,0.48045939970823226
22,0.18141393140629786
23,0.2808860505194094
24,0.7329333395170358
25,0.11657068447283685
26,0.9798502425683755
27,0.4327773768378307
28,0.48609718406720775
29,0.23882366484322884
30,0.45770408636659643
31,0.8448515947378288
32,0.34079577566484764
33,0.48422477915203654
34,0.5743015246139767
35,0.3741534039964855
36,0.34631427739223086
37,0.3838211050569739
38,0.4368217155523913
39,0.28232107761691205
40,0.44770704403599776
41,0.9436537264041442
42,0.8721309857645949
43,0.7189164114278148
44,0.9717047666568409
45,0.34714159652294724
46,0.7302769068712021
47,0.9733446045579125
48,0.2921678112090741
49,0.9348030005988244
50,0.19266122702422298
51,0.9425162889974605
52,0.591385561179246
53,0.9053963589010317
54,0.9874321250924147
55,0.4611542739554031
56,0.5604021829581121
57,0.7409209520914181
58,0.746461949726649
59,0.44876598156583136
60,0.9455070970194065
61,0.5611814939213303
62,0.6293922632963154
63,0.44839657901182894
64,0.34131654095029046
65,0.8003664127516518
66,0.4002027709352645
67,0.1676485096491835
68,0.3694980076885757
69,0.6126810412403954
70,0.23632399921301545
71,0.43994549403854943
72,0.3002534721197341
73,0.8529794040049539
74,0.9261752255812794
75,0.4938575797974785
76,0.6359463966545729
77,0.309908041767491
78,0.5467172073370157
79,0.40420090567998646
80,0.9801976237367981
81,0.5335170616822593
82,0.4699856325808312
83,0.43974307918824257
84,0.8339243997946477
85,0.4972393616930687
86,0.8120531750496537
87,0.38984336714278867
88,0.31683769741158235
89,0.6699246938943147
90,0.9885031518289614
91,0.3284998849859102
92,0.2595758943820208
93,0.3094158925714719
94,0.553284557150501
95,0.9241379868485526
96,0.45288429384774936
97,0.9420284202577633
98,0.5325910642277967
99,0.5263347932466762
100,0.17224570509377585
101,0.473286634956723
102,0.7771775110299755
103,0.24003759376390985
104,0.15948889818034814
105,0.46349561704531556
106,0.34964087765216734
107,0.46127686217969655
108,0.7297607654787351
109,0.23405989387499898
110,0.6639608116345983
111,0.22317290327802994
112,0.8721712255251226
113,0.8793643084933341
114,0.8698468006139124
115,0.9825003260506397
116,0.4970598113803111
117,0.2666880089504181
118,0.29456024448777357
119,0.2441074306837316
120,0.2561786789742382
121,0.8055888551749478
122,0.975361389767407
123,0.24919644448934636
124,0.39291450211006684
125,0.5456992334391279
126,0.9722673688845545
127,0.8813844871317948
128,0.9788162337817863
129,0.41591385654388624
130,0.27919361926091757
131,0.3032327741895508
132,0.27961259014849416
133,0.7756592534659938
134,0.9764184621923013
135,0.9582470022915333
136,0.271394392025596
137,0.7548164504312765
138,0.3887938879669268
139,0.9844825259203414
140,0.42264716713489414
141,0.8268145694409181
142,0.21575927075510773
143,0.4484764549011612
144,0.4896252808893159
